vendor_id,vendor_name,gst,pan,bank,ifsc,city,email,risk_category
0,Green Tech Ltd,88JNAOR1130O1Z8,ODYBS2196G,GB96CINI0019199866391,AXIS5558712,Delhi,karnikedhitha@example.org,Low
1,Om Sai Traders LLP,95HZUAE4712W1Z2,MHKMJ3911X,GB13IHBX0825284374486,SBIN9297235,Pune,ishwar08@example.com,Low
2,Global Tech LLP,54TVBQQ5404B1Z3,ZKPRI6638U,GB83XVQP8202215148731,ICIC4663702,Pune,arin73@example.org,Low
3,BlueStar Solutions Pvt Ltd,48QGUQC2012G1Z9,UXABE6241M,GB20NYIP3347088367765,SBIN6123492,Delhi,jacksonmitra@example.net,Low
4,Apex Enterprises Ltd,87XDAHZ9453I1Z6,OWUGR5469Y,GB45AYQU7059852500692,SBIN6703810,Mumbai,chatresh52@example.com,Low
5,Apex Logistics LLP,96JNXJC4486C1Z7,MVKWD2610N,GB16WRIZ9979735872519,ICIC2849007,Delhi,chawlamanbir@example.net,Low
6,Green Enterprises Pvt Ltd,90SXRDK6863G1Z3,OWJMI8447U,GB04QKGN8432448927027,ICIC8759738,Mumbai,snehasrinivasan@example.com,Low
7,Om Sai Logistics Pvt Ltd,48JNBJP7937A1Z9,RJBNI9880B,GB48KMZQ8424886581970,SBIN2751428,Delhi,oben@example.org,Low
8,Green Enterprises Ltd,47SKKXG5618I1Z5,GDSZM3227H,GB93JYZR8501877010590,HDFC3958546,Pune,loyalutkarsh@example.net,Low
9,Shree Logistics LLP,94KVFZT2982E1Z6,PZDVA3705A,GB70OTMG4746916948814,ICIC1322962,Bangalore,xkaur@example.org,Low
10,BlueStar Solutions Ltd,81HWWFL8668F1Z4,IDTHI1722G,GB98QSWA6376640181701,SBIN9524810,Mumbai,vrinda05@example.org,Low
11,Green Solutions Pvt Ltd,54SMAUB7291A1Z7,FUACD3712Q,GB30GZXB0046754310424,SBIN1110347,Bangalore,kpillay@example.net,Low
12,Shree Logistics Ltd,49GTVDX5700X1Z8,UNLPH2604J,GB20XFAW9119929690004,AXIS9393155,Delhi,gdube@example.com,Low
13,BlueStar Traders LLP,77UKKIP2898G1Z7,NCFKU4867W,GB59VZXP5134295037094,SBIN3388823,Bangalore,chakrabartiyutika@example.com,Low
14,Om Sai Logistics Pvt Ltd,48EVJQO5467O1Z1,LIUIB5092I,GB19VDCJ3397230559599,AXIS6077582,Mumbai,indrajit87@example.org,Low
15,Om Sai Logistics LLP,70GZVXX2853D1Z9,KGQBG4972I,GB19PTET5105052284233,ICIC7294267,Mumbai,oscar35@example.org,Low
16,Apex Traders LLP,30CKDVY8706P1Z4,ILMTT4469I,GB13TEQP1730886891471,SBIN4220813,Delhi,wardaborra@example.org,Low
17,Shree Enterprises LLP,23UMGAT6779K1Z3,NZVHS1584Q,GB88OIOO1752140704592,HDFC5738737,Pune,saniaarav@example.com,Low
18,Green Enterprises Ltd,53CJPIQ7820A1Z1,UFEKC2359H,GB32XVVM9256221808088,SBIN5288923,Mumbai,sahnijalsa@example.com,Low
19,Om Sai Enterprises Ltd,39GMSUT3334L1Z2,QJCAV1563W,GB08AGNF1050223935733,ICIC5119725,Pune,jackbumb@example.org,Low
20,Om Sai Logistics Ltd,33YHKWV1034Z1Z2,SCSEZ9529U,GB98UUUQ0764327810473,HDFC5047146,Pune,rattigarima@example.net,Low
21,BlueStar Solutions LLP,88CHVGM5428F1Z2,TSZNN7829Q,GB64ZDWD0873074264401,SBIN6842399,Pune,chawlaurvi@example.com,Low
22,Global Logistics LLP,79BLOYQ3142U1Z8,OROYE3339P,GB75TOFP3114056905303,SBIN1559924,Mumbai,bhavsardarpan@example.org,Low
23,Global Solutions LLP,70EBAMZ4529Y1Z5,IYMXB1583L,GB72AEVY1682212560129,SBIN9897516,Mumbai,lraman@example.org,Low
24,Shree Logistics LLP,35KOALQ1735K1Z6,SRGKM3467J,GB08QHAV4763145484160,ICIC4752656,Bangalore,ssangha@example.com,Low
25,Shree Traders Ltd,37MZDKC2934M1Z5,CQBLE4649L,GB22KHRJ1557189954506,ICIC7375970,Delhi,mukhopadhyayyasti@example.com,Low
26,Shree Solutions Pvt Ltd,36XALHH7127G1Z3,TYYMM3005M,GB80DPUG8177338489732,SBIN7870547,Delhi,christopheracharya@example.org,Low
27,BlueStar Tech Pvt Ltd,11SBPVB6123I1Z7,DJCZK3401T,GB77UJEO5415557105057,SBIN8789171,Pune,jason42@example.net,Low
28,Apex Traders Ltd,66VQZAQ1960W1Z2,TGCTZ1328S,GB45NHKG9574787457127,SBIN3464582,Delhi,bhavya03@example.net,Low
29,Shree Logistics Pvt Ltd,39BFSAU8446W1Z2,PXHYY7983Q,GB72SNKS8452657685889,AXIS7121970,Delhi,pushtishetty@example.com,Low
30,Om Sai Logistics Ltd,65JNMQU9108P1Z9,OUMXR7539X,GB34YDEX1813612909234,SBIN2148873,Pune,zarna53@example.org,Low
31,Apex Tech Ltd,70IIFGO2278B1Z8,OARNC4207N,GB18RPJA5118609866080,ICIC8564211,Delhi,panchalamruta@example.com,Low
32,Green Traders Ltd,30EYMLB8312T1Z6,TUEUC3716M,GB95VXHG1400842213972,HDFC9521206,Delhi,owen02@example.com,Low
33,Shree Solutions Ltd,19YYCUC1348I1Z6,BFTOD3989R,GB74ECFY9168659006720,SBIN1365352,Mumbai,brinda38@example.com,Low
34,Green Logistics LLP,41VJSDR2092R1Z4,QZKTR4307F,GB09HWVR1460581529632,AXIS7381454,Bangalore,tanish51@example.org,Low
35,Global Tech LLP,36ABVBU2818I1Z9,PSXKC2669R,GB24HWKI7252476266059,HDFC4579875,Bangalore,ikhurana@example.net,Low
36,Om Sai Traders Ltd,64SLELH9801V1Z5,JTHDL1326F,GB46BWDP1009521656860,ICIC4796082,Bangalore,wagleshivansh@example.org,Low
37,Shree Solutions Pvt Ltd,59GZPHI3060X1Z5,JCSSU8632D,GB06NEEL8390905221183,SBIN4953905,Pune,okrish@example.com,Low
38,Om Sai Traders Pvt Ltd,50GYBUH3381G1Z9,PGRVE4022T,GB87ZKOR0550147955374,HDFC2619470,Mumbai,chaturadhar@example.net,Low
39,Green Logistics Ltd,56OHRVV4777W1Z9,UTCWV6957G,GB84XPOI4610611261542,AXIS1128512,Pune,libniratta@example.org,Low
40,Apex Solutions Pvt Ltd,94THAYY1753K1Z7,DFBFI8370Q,GB23PIXJ9339831584194,HDFC2861513,Delhi,zkalita@example.com,Low
41,Global Tech Pvt Ltd,74XHOSR8426G1Z3,AVXPP2837O,GB15TIUG0607036790283,AXIS9453209,Delhi,vritti75@example.net,Low
42,BlueStar Traders Pvt Ltd,21YQLVQ1513H1Z4,QIFKL7059V,GB27VYER9403563494244,ICIC2831213,Delhi,dugaranthony@example.net,Low
43,Green Logistics Pvt Ltd,91LPBOK8934Q1Z8,ZEHGI1037A,GB40QKTJ4077861760715,ICIC1699090,Bangalore,bansalaarna@example.net,Low
44,BlueStar Logistics Ltd,15RIPVN7566K1Z6,ZPLNH2345M,GB03DDZS7640791094452,HDFC6234158,Delhi,sastryharini@example.org,Low
45,Global Logistics Ltd,14JEPJD2183R1Z2,YQBSC2077L,GB48ALMX3057651271058,ICIC2818219,Delhi,chaudhryreva@example.net,Low
46,Apex Enterprises LLP,53PCDIK3707V1Z9,LVBOU4362M,GB03GLCM4145217448188,ICIC6438085,Delhi,inayasanghvi@example.com,Low
47,Apex Tech Ltd,40QRHSF3866F1Z9,TYNWA7551Y,GB40GKZV6218255132188,HDFC3195220,Mumbai,kala54@example.org,Low
48,Green Traders Pvt Ltd,80JYOOV8281Y1Z6,AZXWJ6452Q,GB90YAHY3402800432182,AXIS7962486,Delhi,nehasabharwal@example.org,Low
49,BlueStar Enterprises LLP,23YWRAU4231M1Z2,BUXUO7789X,GB38ESWL2143439728220,HDFC2930260,Bangalore,gabriel66@example.org,Low
50,Apex Tech Pvt Ltd,21DGOVW3200U1Z9,DQPGV1798B,GB14KXBT5350279479258,AXIS7338233,Bangalore,patlabhavna@example.org,Low
51,Global Enterprises Ltd,19PYEIM4657V1Z3,UPBIA7802R,GB22VPUC0263799472261,HDFC4615525,Mumbai,tamannapant@example.org,Low
52,BlueStar Traders Ltd,69TOQBR8996E1Z2,INWNM2797E,GB30LLSB7204860234806,AXIS8995630,Bangalore,babuhemal@example.com,Low
53,Green Tech LLP,23KCLUS1296T1Z2,DHECO4482Q,GB48CMPR8336897559046,SBIN3026318,Bangalore,dguha@example.org,Low
54,Global Solutions Pvt Ltd,25YTDAT2003D1Z7,XFGOT5791P,GB44JNFU7140103341817,SBIN6128151,Pune,advika14@example.net,Low
55,Apex Solutions LLP,36EMRHB8385O1Z5,NYIKD8595W,GB12CVDA7238141424958,SBIN7885125,Delhi,sakshamanne@example.com,Low
56,Om Sai Logistics Pvt Ltd,21MEVBI3011H1Z5,LINSV7590J,GB68VZOK7834397434454,ICIC4623454,Pune,yuvraj62@example.com,Low
57,Om Sai Tech Ltd,10JNYOV3761Z1Z9,TJLIW1360L,GB88UALN2859822120727,AXIS3888337,Bangalore,banjeet77@example.net,Low
58,Om Sai Tech Pvt Ltd,35VYMXA7032G1Z1,SZLSJ4417E,GB54ZFVB4178960088615,HDFC5589889,Delhi,ekavirjhaveri@example.org,Low
59,Om Sai Logistics Pvt Ltd,23IXCDW7945V1Z3,SEWQD2046Z,GB88JOLR4174351302505,ICIC4627239,Bangalore,vidhi93@example.com,Low
100,Om Sai Logistics LTD,65JNMQU9108P1Z9,OUMXR7539X,GB34YDEX1813612909234,SBIN2148873,Pune,zarna53@example.org,High
101,Om Sai Logistics Pvt LTD,23IXCDW7945V1Z3,SEWQD2046Z,GB88JOLR4174351302505,ICIC4627239,Bangalore,vidhi93@example.com,High
102,Green Solutions Pvt LTD,54SMAUB7291A1Z7,FUACD3712Q,GB30GZXB0046754310424,SBIN1110347,Bangalore,kpillay@example.net,High
103,BlueStar Traders LTD,69TOQBR8996E1Z2,INWNM2797E,GB30LLSB7204860234806,AXIS8995630,Bangalore,babuhemal@example.com,High
104,Green Enterprises LTD,53CJPIQ7820A1Z1,UFEKC2359H,GB32XVVM9256221808088,SBIN5288923,Mumbai,sahnijalsa@example.com,High
